"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TR","0","0","8","grid contour skeleton region point grid contour skeleton","0.5 0.799 0.584 0.437 8 0.54 0.385 0.688","1.7929630279541016","null","null"
"TR","0","1","17","contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton","0.516 0.729 0.26 33 0.348 0.886 0.76 0.631 40 0.194 0.877 0.678 0.847 44 0.852 0.324 0.599","1.082342505455017","null","null"
"TR","0","2","7","skeleton region point grid contour skeleton region","0.576 0.615 13 0.869 0.608 0.623 0.375","0.8782905340194702","null","null"
"TR","0","3","5","grid contour skeleton region point","0.809 0.47 0.352 0.271 11","0.6104375123977661","null","null"
"TR","0","4","6","point grid contour skeleton region point","7 0.873 0.964 0.37 0.728 19","0.6446871757507324","null","null"
"TR","0","5","10","contour skeleton region point grid contour skeleton region point grid","0.317 0.12 0.128 13 0.531 0.151 0.565 0.68 9 0.66","0.6919599771499634","null","null"
"TR","0","6","17","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid","7 0.699 0.636 0.238 0.752 6 0.934 0.671 0.9 0.807 38 0.511 0.193 0.516 0.372 41 0.822","0.5619828104972839","null","null"
"TR","0","7","14","grid contour skeleton region point grid contour skeleton region point grid contour skeleton region","0.13 0.999 0.824 0.44 23 0.337 0.754 0.24 0.913 36 0.837 0.667 0.989 0.521","0.7104597091674805","null","null"
"TR","0","8","13","point grid contour skeleton region point grid contour skeleton region point grid contour","14 0.295 0.359 0.839 0.48 26 0.328 0.938 0.39 0.662 6 0.689 0.447","0.5589028000831604","null","null"
"TR","0","9","12","region point grid contour skeleton region point grid contour skeleton region point","0.17 11 0.703 0.997 0.601 0.849 28 0.272 0.545 0.172 0.675 8","0.41762685775756836","null","null"
"TR","0","10","2","skeleton region","0.655 0.922","1.0293728113174438","null","null"
"TR","0","11","5","grid contour skeleton region point","0.677 0.328 0.996 0.847 19","0.3790125250816345","null","null"
"TR","0","12","2","skeleton region","0.155 0.953","0.5452280044555664","null","null"
"TR","0","13","16","region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region","0.422 15 0.833 0.831 0.945 0.643 5 0.19 0.169 0.979 0.303 39 0.998 0.98 0.805 0.685","0.5177007913589478","null","null"
"TR","0","14","8","grid contour skeleton region point grid contour skeleton","0.145 0.209 0.937 0.132 24 0.548 0.84 0.325","0.4138832092285156","null","null"
"TR","0","15","6","grid contour skeleton region point grid","0.38 0.205 0.131 0.398 19 0.705","0.4161175787448883","null","null"
"TR","0","16","3","contour skeleton region","0.116 0.577 0.465","0.40608540177345276","null","null"
